run_id,topic,status,final_score,execution_seconds,iterations_db,latest_cp_iteration,verified_score,deterministic_score,llm_raw_score,reconciled_final,deterministic_baseline,word_count,paragraph_count,paragraphs_with_citations,citation_count,unique_citation_count,orphan_citation_count,citation_density,citation_diversity,reference_count,sections_present,sections_total,sections_missing_count,thin_sections_count,code_blocks,equation_count,numeric_claims,statistical_terms,weak_phrases,checks_total,checks_pass,checks_fail,checks_warn,failed_categories,mods_proposed,mods_verified,mods_applied,vsr,overall_status,iteration_count,created_at,updated_at
run_1776685472_e4867bc9,Mitigating LLM hallucinations,error,,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-20T11:44:32.691083+00:00,2026-04-20T11:44:33.094750+00:00
run_1776677261_3331f740,Mitigating LLM hallucinations,completed,61.0,997.5,3,3,61,69,45,61,69,8522,72,0,0,0,0,0.0,,12,8,8,0,0,2,1,136,48,0,10,3,5,2,CITATION|MATHEMATICAL|PROPOSITIONAL|citations,3,0,0,0.0,ISSUES_FOUND,3,2026-04-20T09:27:41.588253+00:00,2026-04-20T09:44:19.072750+00:00
run_1776674004_9ce120e0,History of AI winters,completed,46.0,238.2,1,1,46,54,42,46,54,5195,100,0,0,0,0,0.0,,72,6,8,2,0,0,2,0,0,0,12,2,8,2,ARGUMENT|CITATION|CONSISTENCY|STRUCTURAL|citations|structure,1,0,0,0.0,ISSUES_FOUND,1,2026-04-20T08:33:24.824318+00:00,2026-04-20T08:37:22.996619+00:00
run_1776673697_dca0ba5f,Climate change mitigation strategies,completed,58.0,247.2,1,1,58,63,58,58,63,5547,77,19,85,47,5,0.247,0.553,51,8,8,0,0,0,7,9,0,0,12,7,3,2,CITATION|STRUCTURAL|citations,1,1,1,1.0,ISSUES_FOUND,1,2026-04-20T08:28:17.670512+00:00,2026-04-20T08:32:24.875461+00:00
run_1776673174_e08093b6,Formal verification techniques for ensuring safety in autonomous systems,completed,60.0,350.7,1,1,60,68,58,60,68,7621,148,136,254,101,0,0.919,0.398,103,5,8,3,0,3,0,0,0,0,13,6,5,2,MATHEMATICAL|STRUCTURAL|structure,0,0,0,,ISSUES_FOUND,1,2026-04-20T08:19:34.652876+00:00,2026-04-20T08:25:25.354798+00:00
run_1776672918_82a25e5d,Benefits and risks of large language models in education,completed,48.0,191.4,1,1,48,46,48,48,46,4248,53,24,38,25,5,0.453,0.658,25,5,8,3,0,0,0,11,0,0,15,4,7,4,CITATION|STRUCTURAL|citations|structure,1,1,1,1.0,ISSUES_FOUND,1,2026-04-20T08:15:18.140897+00:00,2026-04-20T08:18:29.508492+00:00
run_1776672627_2cb18510,Mitigating LLM hallucinations,completed,85.0,215.3,1,1,85,93,78,85,93,4299,73,55,89,30,0,0.753,0.337,30,8,8,0,0,3,0,14,5,0,10,7,1,2,STRUCTURAL,0,0,0,,VERIFIED,1,2026-04-20T08:10:27.169163+00:00,2026-04-20T08:14:02.458999+00:00
run_1776671235_dc8d6b88,Mitigating LLM hallucinations,completed,66.0,220.7,1,1,66,58,67,66,58,4488,82,22,36,28,5,0.268,0.778,28,8,8,0,1,3,0,11,1,0,12,6,3,3,CITATION|STRUCTURAL|citations,1,1,1,1.0,ISSUES_FOUND,1,2026-04-20T07:47:15.368064+00:00,2026-04-20T07:50:56.065446+00:00
run_1776661826_55dd6edd,Mitigating LLM hallucinations,completed,58.0,236.7,1,1,58,53,58,58,53,4628,74,24,68,46,5,0.324,0.676,46,8,8,0,0,1,0,13,2,0,12,5,3,4,CITATION|STRUCTURAL|citations,1,1,1,1.0,ISSUES_FOUND,1,2026-04-20T05:10:26.151477+00:00,2026-04-20T05:14:22.837556+00:00
run_1776661273_1818d50a,Mitigating LLM hallucinations,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-20T05:01:13.745137+00:00,2026-04-20T05:01:13.745137+00:00
run_1776660635_e5443c5a,Mitigating LLM hallucination,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-20T04:50:35.603346+00:00,2026-04-20T04:50:35.603346+00:00
run_1776628586_4806b4c0,how good the diversity is,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-19T19:56:26.814427+00:00,2026-04-19T19:56:26.814427+00:00
run_1776616173_5d625d32,Mitigating LLM hallucinations,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-19T16:29:33.549270+00:00,2026-04-19T16:29:33.549270+00:00
run_1776609254_56d57d47,Quantum error correction,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-19T14:34:14.112962+00:00,2026-04-19T14:34:14.112962+00:00
run_1776605084_60e97abe,Multi-agent systems for automated software development: architectures and evaluation,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-19T13:24:44.561419+00:00,2026-04-19T13:24:44.561419+00:00
run_1776604492_d7529571,Formal verification techniques for ensuring safety in autonomous systems,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-19T13:14:52.052216+00:00,2026-04-19T13:14:52.052216+00:00
run_1776603714_e0c8fdfa,Benefits and risks of large language models in education,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-19T13:01:54.648422+00:00,2026-04-19T13:01:54.648422+00:00
run_1776603340_fd069916,Benefits and risks of large language models in education,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-19T12:55:40.294029+00:00,2026-04-19T12:55:40.294029+00:00
run_1775924174_bd506e60,Benefits and risks of large language models in education,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-11T16:16:14.544697+00:00,2026-04-11T16:16:14.544697+00:00
run_1775923976_4c58db7e,Benefits and risks of large language models in education,running,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,2026-04-11T16:12:56.235160+00:00,2026-04-11T16:12:56.235160+00:00
